fips,state,county,years_of_potential_life_lost_rate,percent_fair_or_poor_health,average_number_of_physically_unhealthy_days,average_number_of_mentally_unhealthy_days,percent_adults_reporting_currently_smoking,percent_adults_with_obesity,percent_physically_inactive,percent_uninsured,primary_care_physicians_rate,mental_health_provider_rate,percent_some_college,percent_unemployed,percent_children_in_poverty,income_ratio,injury_death_rate,average_daily_pm2_5,percent_severe_housing_problems,life_expectancy,median_household_income,population,percent_rural
01001,Alabama,Autauga,8027,17,3.4,4.8,18,37,26,11,45,36,60,2.8,16,4.8,69,10,14,76.6,66444,59095,42
01003,Alabama,Baldwin,8118,15,3.3,4.8,17,33,23,11,65,104,66,3,16,4.3,75,7.6,12,77.7,65658,239294,42.3
01005,Alabama,Barbour,12877,28,4.6,5,26,46,36,14,33,24,39,5.7,35,5.2,82,9.4,16,72.9,38649,24964,67.8
01007,Alabama,Bibb,11191,22,4,5.4,23,38,32,13,63,40,37,3.5,29,5,103,9.8,11,73.6,48454,22477,68.4
01009,Alabama,Blount,10787,18,3.9,5.4,22,33,29,13,21,20,57,2.4,17,4.8,105,9.6,10,74.2,56894,59041,90
01011,Alabama,Bullock,11406,30,4.7,5.1,26,48,40,12,30,19,36,4,42,6.3,98,9.3,13,73.8,32027,10320,51.4
01013,Alabama,Butler,12717,23,4.2,5.2,22,45,32,13,21,85,41,5.3,34,5.3,106,9.1,12,73.5,39442,18884,71.2
01015,Alabama,Calhoun,11826,20,3.8,4.9,21,37,28,13,60,149,55,4.1,25,4.8,93,9.7,12,72.8,48166,115972,33.7
01017,Alabama,Chambers,11059,22,4.1,5.5,22,41,32,13,43,9,56,3.7,32,4.2,101,9.8,17,73.8,45447,34541,49.1
01019,Alabama,Cherokee,11396,19,3.9,5.5,23,41,29,13,38,24,50,2.5,27,4.8,98,9.5,9,74,46365,24996,85.7
01021,Alabama,Chilton,10342,20,3.9,5.5,22,38,31,15,23,73,44,2.9,22,4.1,88,9.9,15,74.4,55142,45274,86.7
01023,Alabama,Choctaw,12129,23,4.2,5.4,22,41,31,13,40,8,53,4.4,32,6.3,97,9.3,10,74.2,40601,12533,100
01025,Alabama,Clarke,14428,24,4.3,5.2,23,41,32,14,47,92,42,6,29,5.9,99,9.5,12,71.7,45447,22760,76
01027,Alabama,Clay,12554,21,4.1,5.5,23,39,31,14,31,14,42,2.7,28,6.3,104,7.6,8,72.9,47036,14190,100
01029,Alabama,Cleburne,10530,19,4,5.4,22,38,29,13,27,53,49,2.6,22,4.6,111,9.4,9,74.3,49769,15103,100
01031,Alabama,Coffee,9298,19,3.9,5.4,20,44,30,14,47,92,63,2.8,24,4.8,71,9.1,10,75.3,55052,54174,47.2
01033,Alabama,Colbert,11072,19,3.8,5.4,21,37,29,10,63,52,56,4,24,4.6,77,8.1,11,73.9,53341,57474,43.9
01035,Alabama,Conecuh,15565,24,4.3,5.6,24,43,35,11,42,53,45,4.8,34,4.2,106,9.2,8,71.2,35621,11328,80.9
01037,Alabama,Coosa,13477,20,3.9,5.4,22,42,30,12,NA,19,46,3.1,30,4.1,112,9.6,11,73.9,45954,10450,100
01039,Alabama,Covington,12059,20,4,5.5,21,45,28,12,54,80,49,3,28,5.5,89,9.1,13,72.9,44188,37524,69.7
01041,Alabama,Crenshaw,12025,21,4,5.2,22,40,31,13,15,69,46,3.3,29,5.8,96,9.1,8,72.6,38037,13083,100
01043,Alabama,Cullman,10571,18,3.8,5.1,21,38,29,14,57,153,58,2.4,18,4.2,98,9.4,11,73.9,55036,89496,73.2
01045,Alabama,Dale,10385,20,3.9,5.2,21,39,29,14,27,132,58,3.1,23,5.2,81,9.1,12,74.9,50086,49342,50.9
01047,Alabama,Dallas,15053,27,4.4,5.3,23,48,35,11,80,72,55,7.4,45,5.4,116,9.5,17,71.1,33159,37619,45.6
01049,Alabama,DeKalb,10883,23,4.3,5.6,23,42,32,19,45,40,49,2.5,29,5,103,7.5,11,73.8,45062,71813,90.1
01051,Alabama,Elmore,9205,17,3.5,5.5,19,37,25,11,23,26,55,2.7,17,4.1,76,10,12,75.3,63147,89304,54.2
01053,Alabama,Escambia,13084,25,4.4,5.5,25,44,34,14,33,79,38,4.1,30,5.2,117,9.3,10,72.2,40506,36699,63.5
01055,Alabama,Etowah,12211,19,3.8,5.4,21,41,29,14,76,133,56,4.1,25,4.8,96,8.4,10,72.5,46308,103162,37.5
01057,Alabama,Fayette,12489,21,4.2,5.7,24,39,32,14,99,19,45,3.1,27,5.6,94,9,12,73.1,46122,16148,80.2
01059,Alabama,Franklin,10961,22,4.2,5.4,23,38,32,16,44,12,39,2.5,25,4.4,88,8.2,10,73.7,45440,32013,70.4
01061,Alabama,Geneva,12682,22,4.2,5.9,24,38,32,15,27,26,46,2.8,29,4.9,85,9,12,72.6,43206,26701,89.6
01063,Alabama,Greene,14803,32,4.9,5.6,27,49,41,12,50,13,57,6.9,52,5.8,85,9.3,17,72.9,30225,7629,100
01065,Alabama,Hale,13407,26,4.4,5.3,24,47,36,11,20,20,49,5.7,33,6.2,93,9.4,15,72.5,41995,14754,89.2
01067,Alabama,Henry,10034,20,3.9,5.2,21,42,29,12,29,34,46,3.2,25,5.2,84,9.1,9,75.5,56389,17459,87.8
01069,Alabama,Houston,9505,20,3.7,5.2,21,39,32,14,85,174,59,3.4,27,5.1,72,8.1,13,75.6,48701,107458,33.8
01071,Alabama,Jackson,11395,20,4.2,5.8,22,40,29,13,52,53,49,2.9,27,4.8,95,8.6,10,73.3,46998,52773,77
01073,Alabama,Jefferson,11420,17,3.3,5,16,39,25,10,114,226,69,3.6,24,5.4,108,10.7,15,74.1,55210,667820,9.8
01075,Alabama,Lamar,9968,20,4,5.5,22,39,29,12,NA,22,48,3,25,5.4,101,8.9,9,75.3,44265,13689,100
01077,Alabama,Lauderdale,9012,17,3.6,5.2,19,39,26,12,54,175,57,3.2,23,4.6,80,8,12,75.9,52222,94043,49.3
01079,Alabama,Lawrence,12574,21,4.1,5.6,23,39,30,15,15,127,53,2.9,23,4.4,103,8.5,10,72.9,55555,33090,91.3
01081,Alabama,Lee,7312,17,3.6,4.9,17,37,25,11,52,111,75,2.8,18,6.6,64,10.1,17,77.7,54188,177218,27.4
